Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
DCMSRIND,DCM Shriram Industries Limited,65.85,NA,57284.35,28489.9405875,86992185,Sugar,Sugar,Fast Moving Consumer Goods,NA,NA,Active
SNOWMAN,Snowman Logistics Limited,33.7,70.52,56308.65,33369.9789214,167087995,Logistics Solution Provider,Logistics Solution Provider,Services,NIFTY 500                                         ,21.73,Active
YUKEN,Yuken India Limited,529,NA,63480,29694.6,12000000,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NA,NA,Active
DIGISPICE,DiGiSPICE Technologies Limited,19.05,NA,44108.64,4410.8637843,231541406,IT Enabled Services,IT Enabled Services,Information Technology,NA,NA,Active
ATULAUTO,Atul Auto Limited,354,0,77678.93,36519.409464000004,21943200,Commercial Vehicles,Commercial Vehicles,Industrials,NIFTY AUTO                                        ,32.25,Active
REFEX,Refex Industries Limited,254.5,6.38,56262.38,26406.9507031,22107024,Industrial Gases,Industrial Gases,Commodities,NIFTY 500                                         ,21.73,Active
LINC,Linc Limited,519.5,NA,77261.55,21554.1139005,14872291,Stationary,Stationary,Fast Moving Consumer Goods,NA,NA,Active
SCHAND,S Chand And Company Limited,185.95,29.6,65373.21,28686.8670493,35156336,Printing & Publication,Printing & Publication,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
BALAXI,BALAXI PHARMACEUTICALS LIMITED,540,33.63,54761.4,13599.4873125,10141000,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY 500                                         ,21.73,Active
APOLLO,Apollo Micro Systems Limited,312.4,33.94,64866.38,26042.065821199998,20763886,Aerospace & Defense,Aerospace & Defense,Industrials,NIFTY 500                                         ,21.73,Active
JUBLINDS,Jubilant Industries Limited,397,5396.08,59816.39,14305.3083734,15067101,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
FOODSIN,Foods & Inns Limited,127.75,NA,65073.63,28206.540608400002,50938260,Packaged Foods,Packaged Foods,Fast Moving Consumer Goods,NA,NA,Active
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,168.25,26.2,53210.54,17093.1556224,31625880,Dyes And Pigments,Dyes And Pigments,Commodities,NIFTY 500                                         ,21.73,Active
SPENCERS,Spencer's Retail Limited,61.15,0,55115.72,22654.5818394,90132009,Diversified Retail,Diversified Retail,Consumer Discretionary,NIFTY 500,21.73,Active
ASAL,Automotive Stampings and Assemblies Limited,300,7.29,47593.19,11914.162147000001,15864397,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
ELDEHSG,Eldeco Housing And Industries Limited,609.75,NA,59956.72,26903.088,9833000,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NA,NA,Active
KELLTONTEC,Kellton Tech Solutions Limited,52.75,40.64,50920,24455.895551999998,96530799,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
RBL,Rane Brake Lining Limited,685.3,15.01,52972.81,15410.309475,7729871,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
CREST,Crest Ventures Limited,170,0,48365,14852.038,28450000,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
DPWIRES,D P Wires Limited,397,NA,53864.96,16249.0368,13568000,Iron & Steel Products,Iron & Steel Products,Industrials,NA,NA,Active
